id,sql_prompt,sql_context,sql,korean_text
5151,What are the names and habitats of all animals that are part of an education program in the 'Americas' region?,"CREATE TABLE AnimalEducation (id INT, animal_id INT, program_id INT); INSERT INTO AnimalEducation (id, animal_id, program_id) VALUES (1, 1, 1), (2, 2, 1), (3, 3, 2);","SELECT a.name, h.name FROM Animals a INNER JOIN AnimalEducation ae ON a.id = ae.animal_id INNER JOIN EducationPrograms e ON ae.program_id = e.id INNER JOIN Coordinators c ON e.coordinator_id = c.id INNER JOIN Habitat h ON a.habitat_id = h.id WHERE c.region = 'Americas';",'Américas' 지역의 교육 프로그램에 참여하는 모든 동물의 이름과 서식지는 무엇인가요?
5152,"List defense projects that started in 2019 and their associated risks, if any.","CREATE TABLE DefenseProjects (id INT, project_name VARCHAR(50), start_date DATE, risk_level INT); INSERT INTO DefenseProjects (id, project_name, start_date, risk_level) VALUES (1, 'Project G', '2019-01-01', 3), (2, 'Project H', '2018-06-15', 5), (3, 'Project I', '2019-12-31', NULL);","SELECT project_name, risk_level FROM DefenseProjects WHERE start_date >= '2019-01-01' AND start_date <= '2019-12-31' AND risk_level IS NOT NULL;",2019년에 시작된 방산 프로젝트와 관련된 위험 수준이 있다면 목록을 보여주세요.
5153,What is the total waste generation in the textile category for each country in 2021?',"CREATE TABLE textile_waste (country VARCHAR(50), year INT, amount INT); INSERT INTO textile_waste (country, year, amount) VALUES ('Bangladesh', 2021, 50000), ('Vietnam', 2021, 40000), ('India', 2021, 30000);","SELECT country, SUM(amount) as total_textile_waste FROM textile_waste WHERE year = 2021 GROUP BY country;",2021년 각 국가별 섬유 카테고리의 총 폐기물 발생량은 얼마인가요?
5154,How many military equipment maintenance requests were there in January 2020?,"CREATE TABLE maintenance_requests (request_id INT, date DATE, type VARCHAR(255)); INSERT INTO maintenance_requests (request_id, date, type) VALUES (1, '2020-01-01', 'equipment'); INSERT INTO maintenance_requests (request_id, date, type) VALUES (2, '2020-01-15', 'facility');",SELECT COUNT(*) FROM maintenance_requests WHERE date BETWEEN '2020-01-01' AND '2020-01-31' AND type = 'equipment';,2020년 1월에 군사 장비 유지 보수 요청이 얼마나 있었나요?
5155,List all the suppliers and their contact information who have not supplied any raw materials in the last 6 months.,"CREATE TABLE Suppliers (supplier_id INT, supplier_name VARCHAR(20), contact_name VARCHAR(20), contact_phone VARCHAR(15), last_supply DATE);","SELECT Suppliers.* FROM Suppliers LEFT JOIN (SELECT supplier_id FROM Raw_Materials WHERE supply_date >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH) GROUP BY supplier_id) AS RM ON Suppliers.supplier_id = RM.supplier_id WHERE RM.supplier_id IS NULL;",지난 6개월 동안 원자재를 공급하지 않은 모든 공급업체와 그들의 연락처 정보를 나열하십시오.
5156,What is the total donation amount by region?,"CREATE TABLE Donors (DonorID int, DonorName varchar(100), Region varchar(50), Country varchar(50), DonationDate date, AmountDonated decimal(10,2)); INSERT INTO Donors (DonorID, DonorName, Region, Country, DonationDate, AmountDonated) VALUES (1, 'John Doe', 'North America', 'USA', '2022-01-01', 500.00), (2, 'Jane Smith', 'North America', 'Canada', '2021-01-01', 300.00), (3, 'Ali Khan', 'Asia', 'Pakistan', '2022-03-01', 250.00);","SELECT Region, SUM(AmountDonated) as TotalDonated FROM Donors GROUP BY Region;",지역별 총 기부 금액은 얼마인가요?
5157,Display the names of all satellites launched before 2010,"CREATE TABLE satellites (id INT, name TEXT, country TEXT, launch_date DATE); INSERT INTO satellites (id, name, country, launch_date) VALUES (1, 'Sentinel-1A', 'France', '2012-04-03'); INSERT INTO satellites (id, name, country, launch_date) VALUES (2, 'Sentinel-1B', 'France', '2014-04-22'); INSERT INTO satellites (id, name, country, launch_date) VALUES (3, 'USA-202', 'USA', '2011-03-24'); INSERT INTO satellites (id, name, country, launch_date) VALUES (4, 'INSAT-3A', 'India', '2003-04-10');",SELECT name FROM satellites WHERE launch_date < '2010-01-01';,2010년 이전에 발사된 모든 위성의 이름을 표시하십시오.
5158,Count the number of unique users who engaged with virtual tours in 'January'?,"CREATE TABLE user_activity (user_id INT, activity_date DATE); INSERT INTO user_activity (user_id, activity_date) VALUES (1, '2023-01-01'), (2, '2023-01-05'), (3, '2023-01-07'), (4, '2023-01-10'), (5, '2023-01-12');",SELECT COUNT(DISTINCT user_id) FROM user_activity WHERE EXTRACT(MONTH FROM activity_date) = 1;,'1월'에 가상 투어에 참여한 고유 사용자 수를 세십시오.
5159,What is the average age of players who use VR in France?,"CREATE TABLE Players (PlayerID INT, Age INT, Gender VARCHAR(10), Country VARCHAR(20)); INSERT INTO Players (PlayerID, Age, Gender, Country) VALUES (1, 25, 'Male', 'France'); INSERT INTO Players (PlayerID, Age, Gender, Country) VALUES (2, 30, 'Female', 'France'); CREATE TABLE VRUsers (PlayerID INT, VRDevice VARCHAR(20)); INSERT INTO VRUsers (PlayerID, VRDevice) VALUES (1, 'Oculus');",SELECT AVG(Age) FROM Players JOIN VRUsers ON Players.PlayerID = VRUsers.PlayerID WHERE Country = 'France';,프랑스에서 VR을 사용하는 플레이어의 평균 나이는 얼마인가요?
5160,Calculate the total population of animals in North American conservation programs,"CREATE TABLE conservation_programs (id INT, program_name VARCHAR(255), location VARCHAR(255)); CREATE TABLE animal_populations (id INT, program_id INT, animal_type VARCHAR(255), population INT); INSERT INTO conservation_programs (id, program_name, location) VALUES (1, 'Yellowstone National Park', 'USA'), (2, 'Banff National Park', 'Canada'), (3, 'Everglades National Park', 'USA'); INSERT INTO animal_populations (id, program_id, animal_type, population) VALUES (1, 1, 'Bison', 5000), (2, 1, 'Elk', 7000), (3, 2, 'Moose', 3000), (4, 3, 'Alligator', 2000);",SELECT SUM(animal_populations.population) FROM conservation_programs INNER JOIN animal_populations ON conservation_programs.id = animal_populations.program_id WHERE conservation_programs.location = 'USA' OR conservation_programs.location = 'Canada';,북미의 보호 프로그램에서 동물의 총 개체수를 계산하세요.
5161,How many tree species in the temperate rainforest have a DBH greater than 50 cm?,"CREATE TABLE biomes (biome_id INT PRIMARY KEY, name VARCHAR(50), area_km2 FLOAT); INSERT INTO biomes (biome_id, name, area_km2) VALUES (1, 'Tropical Rainforest', 15000000.0), (2, 'Temperate Rainforest', 250000.0), (3, 'Boreal Forest', 12000000.0); CREATE TABLE trees (tree_id INT PRIMARY KEY, species VARCHAR(50), biome_id INT, dbh FLOAT, FOREIGN KEY (biome_id) REFERENCES biomes(biome_id)); INSERT INTO trees (tree_id, species, biome_id, dbh) VALUES (1, 'Douglas Fir', 2, 60.0), (2, 'Western Hemlock', 2, 45.0), (3, 'Red Alder', 2, 30.0);",SELECT COUNT(DISTINCT species) FROM trees JOIN biomes ON trees.biome_id = biomes.biome_id WHERE trees.dbh > 50.0 AND biomes.name = 'Temperate Rainforest';,온대 우림에서 DBH가 50cm를 초과하는 나무 종의 수는 얼마인가요?
5162,What is the total quantity of cotton sourced from the United States by brands that have committed to fair labor practices?,"CREATE TABLE cotton_source (brand VARCHAR(255), country VARCHAR(255), quantity INT); INSERT INTO cotton_source (brand, country, quantity) VALUES ('BrandA', 'USA', 1500), ('BrandB', 'USA', 2000), ('BrandC', 'China', 1000);",SELECT SUM(quantity) FROM cotton_source WHERE country = 'USA' AND brand IN (SELECT brand FROM fair_labor WHERE commitment = 'yes');,미국에서 공정 노동 관행에 헌신한 브랜드가 조달한 면화의 총 수량은 얼마입니까?
5163,"Find the title and genre of the top 3 movies with the highest ratings from studios based in Italy, ordered by ratings in descending order.","CREATE TABLE movies (title VARCHAR(255), genre VARCHAR(255), studio VARCHAR(255), rating FLOAT); INSERT INTO movies (title, genre, studio, rating) VALUES ('Movie19', 'Action', 'Italy Studio1', 8.5), ('Movie20', 'Drama', 'Italy Studio2', 9.0);","SELECT title, genre FROM (SELECT title, genre, studio, rating, ROW_NUMBER() OVER (PARTITION BY studio ORDER BY rating DESC) as rank FROM movies WHERE studio LIKE '%Italy%') subquery WHERE rank <= 3 ORDER BY rating DESC;",이탈리아에 본사를 둔 스튜디오에서 가장 높은 평점을 받은 상위 3개의 영화의 제목과 장르를 찾아 평점이 높은 순서대로 정렬하십시오.
5164,List the top 3 marine species with the highest population growth rate.,"CREATE TABLE marine_species (id INT, name VARCHAR(255), population_size INT, growth_rate DECIMAL(4,2)); INSERT INTO marine_species (id, name, population_size, growth_rate) VALUES (1, 'Clownfish', 10000, 0.05), (2, 'Sea Turtle', 5000, 0.10), (3, 'Dolphin', 20000, 0.02);","SELECT name, growth_rate FROM (SELECT name, growth_rate, ROW_NUMBER() OVER (ORDER BY growth_rate DESC) rn FROM marine_species) t WHERE rn <= 3;",인구 증가율이 가장 높은 해양 종 3종을 나열하세요.
5165,What is the minimum energy production of wind turbines installed in China after 2016?,"CREATE TABLE wind_turbines (id INT, installation_year INT, energy_production FLOAT, country VARCHAR(50)); INSERT INTO wind_turbines (id, installation_year, energy_production, country) VALUES (1, 2005, 2.8, 'China'), (2, 2008, 3.5, 'India'), (3, 2012, 4.2, 'Germany'), (4, 2015, 4.5, 'China'), (5, 2016, 4.7, 'China'), (6, 2017, 5.0, 'China');",SELECT MIN(energy_production) FROM wind_turbines WHERE installation_year > 2016 AND country = 'China';,2016년 이후 중국에 설치된 풍력 터빈의 최소 에너지 생산량은 얼마인가요?
5166,"Insert a new record into the ""Legislation"" table with the ID of 4, a description of ""Climate Change Act"", and a status of ""Draft""","CREATE TABLE Legislation (ID INT, Description TEXT, Status VARCHAR(255));","INSERT INTO Legislation (ID, Description, Status) VALUES (4, 'Climate Change Act', 'Draft');","""Legislation"" 테이블에 ID가 4이고, 설명이 ""Climate Change Act""이며, 상태가 ""Draft""인 새로운 레코드를 삽입하세요."
5167,What is the total donation amount from donors aged 40 and above?,"CREATE TABLE Donors (DonorID INT, DonorName TEXT, DonationAmount DECIMAL(10,2), Age INT);",SELECT SUM(DonationAmount) FROM Donors WHERE Age >= 40;,40세 이상 기부자의 총 기부금액은 얼마인가요?
5168,How many times has there been a recall of organic chicken products in the US in the last 2 years?,"CREATE TABLE recalls(id INT, product VARCHAR(30), reason VARCHAR(30), state VARCHAR(20), date DATE); INSERT INTO recalls(id, product, reason, state, date) VALUES (1, 'Organic Chicken Breast', 'contamination', 'California', '2021-01-01'); INSERT INTO recalls(id, product, reason, state, date) VALUES (2, 'Organic Chicken Wings', 'mislabeling', 'Texas', '2021-02-01');",SELECT COUNT(*) FROM recalls WHERE product LIKE 'Organic Chicken%' AND date BETWEEN '2020-01-01' AND '2022-12-31';,미국에서 지난 2년 동안 유기농 닭 제품의 리콜이 몇 번 있었나요?
5169,What is the total number of military personnel involved in cybersecurity operations in Asia?,"CREATE TABLE MilitaryCyberOps (Id INT, Region VARCHAR(50), Personnel INT, Year INT); INSERT INTO MilitaryCyberOps (Id, Region, Personnel, Year) VALUES (1, 'Asia', 200, 2021); INSERT INTO MilitaryCyberOps (Id, Region, Personnel, Year) VALUES (2, 'Europe', 300, 2021);",SELECT SUM(Personnel) FROM MilitaryCyberOps WHERE Region = 'Asia';,아시아에서 사이버 보안 작전에 참여하는 군 인원의 총수는 얼마인가요?
5170,Display total resources extracted and the respective extraction dates for 'gold' and 'silver' resources from the 'resource_extraction' table.,"CREATE TABLE resource_extraction (resource_type VARCHAR(50), extraction_date DATE, quantity INT); INSERT INTO resource_extraction (resource_type, extraction_date, quantity) VALUES ('gold', '2022-01-01', 100), ('silver', '2022-01-05', 200);","SELECT resource_type, SUM(quantity) as total_quantity, extraction_date FROM resource_extraction WHERE resource_type IN ('gold', 'silver') GROUP BY resource_type, extraction_date;",'resource_extraction' 테이블에서 '금'과 '은' 자원의 총 추출량과 해당 추출 날짜를 표시하세요.
5171,"What is the name, height, and number of stories for all buildings in the city of New York with more than 50 floors?","CREATE TABLE Buildings (id INT, name VARCHAR(100), height FLOAT, num_stories INT, city VARCHAR(50)); INSERT INTO Buildings (id, name, height, num_stories, city) VALUES (1, 'Empire State Building', 381, 102, 'New York');","SELECT name, height, num_stories FROM Buildings WHERE city = 'New York' AND num_stories > 50;","뉴욕시에 있는 50층 이상의 모든 건물의 이름, 높이, 층 수는 무엇인가요?"
5172,"Count the number of factories in the ""renewable energy"" sector that have more than 50 employees.","CREATE TABLE factories (id INT, sector TEXT, employee_count INT); INSERT INTO factories (id, sector, employee_count) VALUES (1, 'renewable energy', 60), (2, 'renewable energy', 40), (3, 'oil', 70), (4, 'coal', 80), (5, 'renewable energy', 30);",SELECT COUNT(*) FROM factories WHERE sector = 'renewable energy' HAVING employee_count > 50;,"""50명 이상의 직원이 있는 '재생 에너지' 부문의 공장 수를 세십시오."""
5173,How many sports_events took place in '2019' with a ticket sales count greater than 50000?,"CREATE TABLE sports_events (event_id INT, year INT, tickets_sold INT); INSERT INTO sports_events (event_id, year, tickets_sold) VALUES (1, 2017, 60000), (2, 2018, 80000), (3, 2017, 55000), (4, 2019, 52000);",SELECT COUNT(*) FROM sports_events WHERE year = 2019 AND tickets_sold > 50000;,'2019'년에 티켓 판매 수가 50000 이상인 스포츠 이벤트는 몇 개 있었나요?
5174,Show the total funding amount for companies with female founders,"CREATE TABLE companies (company_id INT, company_name VARCHAR(255), founding_year INT, founder_gender VARCHAR(10));CREATE TABLE funding_rounds (funding_round_id INT, company_id INT, funding_amount INT);",SELECT SUM(fr.funding_amount) FROM companies c INNER JOIN funding_rounds fr ON c.company_id = fr.company_id WHERE c.founder_gender = 'Female';,여성 창립자가 있는 회사의 총 자금 지원 금액을 보여주세요.
5175,What are the vehicle safety testing organizations that operate in the UK and France?,"CREATE TABLE SafetyOrgs (name VARCHAR(20), country VARCHAR(10)); INSERT INTO SafetyOrgs (name, country) VALUES ('Euro NCAP', 'UK'); INSERT INTO SafetyOrgs (name, country) VALUES ('ADAC', 'Germany'); INSERT INTO SafetyOrgs (name, country) VALUES ('UTAC', 'France');","SELECT name FROM SafetyOrgs WHERE country IN ('UK', 'France');",영국과 프랑스에서 운영되는 차량 안전 테스트 기관은 무엇인가요?
5176,Delete all humanitarian assistance missions conducted by Kenya in 2018.,"CREATE TABLE humanitarian_assistance (mission_id INT, country_id INT, year INT, FOREIGN KEY (country_id) REFERENCES country(id));",DELETE FROM humanitarian_assistance WHERE country_id = (SELECT id FROM country WHERE name = 'Kenya') AND year = 2018;,2018년에 케냐에서 수행된 모든 인도적 지원 임무를 삭제하세요.
5177,"Count the number of wheelchair-accessible properties in New York with a listing price above $800,000.","CREATE TABLE properties (id INT, city VARCHAR(20), listing_price INT, wheelchair_accessible BOOLEAN); INSERT INTO properties (id, city, listing_price, wheelchair_accessible) VALUES (1, 'New York', 900000, true); INSERT INTO properties (id, city, listing_price, wheelchair_accessible) VALUES (2, 'New York', 700000, false);",SELECT COUNT(*) FROM properties WHERE city = 'New York' AND listing_price > 800000 AND wheelchair_accessible = true;,뉴욕에서 listing price가 80만 달러 이상인 휠체어 접근이 가능한 매물의 개수를 셉니다.
5178,What is the minimum serving size of gluten-free meals available in convenience stores?,"CREATE TABLE MealTypes (meal_id INT, meal_name VARCHAR(255), meal_type VARCHAR(255), serving_size INT, store_type VARCHAR(255)); INSERT INTO MealTypes (meal_id, meal_name, meal_type, serving_size, store_type) VALUES (1, 'Chicken Salad', 'Gluten-free', 250, 'Convenience Store'), (2, 'Beef Stew', 'Vegetarian', 300, 'Convenience Store'), (3, 'Pork Chops', 'Standard', 400, 'Convenience Store');",SELECT MIN(serving_size) FROM MealTypes WHERE meal_type = 'Gluten-free' AND store_type = 'Convenience Store';,편의점에서 제공되는 글루텐 프리 식사의 최소 서빙 사이즈는 얼마입니까?
5179,"Which sustainable practices were used in the 'Structural Engineering' department that cost over $10,000?","CREATE TABLE SustainablePractices (PracticeID INT, PracticeName VARCHAR(50), Description VARCHAR(255), Department VARCHAR(50), Cost DECIMAL(10,2)); INSERT INTO SustainablePractices (PracticeID, PracticeName, Description, Department, Cost) VALUES (5, 'Green Roof', 'Installing a green roof to reduce energy consumption and improve air quality.', 'Structural Engineering', 12000.00), (6, 'Rainwater Harvesting', 'Collecting and storing rainwater for irrigation and non-potable uses.', 'Structural Engineering', 8000.00);",SELECT SustainablePractices.PracticeName FROM SustainablePractices WHERE SustainablePractices.Department = 'Structural Engineering' AND SustainablePractices.Cost > 10000.00;,"'구조 공학' 부서에서 10,000달러를 초과한 비용이 드는 지속 가능한 관행은 무엇입니까?"
5180,"Add a new policy impact record to the ""PolicyImpact"" table","CREATE TABLE PolicyImpact (ID INT, Policy TEXT, Impact TEXT, StartDate DATE, EndDate DATE);","INSERT INTO PolicyImpact (ID, Policy, Impact, StartDate, EndDate) VALUES (3001, 'Body Cameras for Police Officers', 'Reduction in use-of-force incidents by 25%', '2021-01-01', '2022-12-31');","""PolicyImpact"" 테이블에 새로운 정책 영향 기록을 추가하세요."
5181,What was the average fare collected on weekdays in February 2021 for the 'Red Line'?,"CREATE SCHEMA trans schemas.trans; CREATE TABLE red_line (route_id INT, fare FLOAT, date DATE); INSERT INTO red_line (route_id, fare, date) VALUES (102, 3.00, '2021-02-01'), (102, 3.00, '2021-02-02'), (102, 3.00, '2021-02-03'), (102, 3.00, '2021-02-04'), (102, 3.00, '2021-02-05'), (102, 3.00, '2021-02-06'), (102, 3.00, '2021-02-07');",SELECT AVG(fare) FROM red_line WHERE route_id = 102 AND EXTRACT(DAY FROM date) BETWEEN 2 AND 6 AND EXTRACT(MONTH FROM date) = 2;,2021년 2월 '레드 라인'의 평일 기준으로 수집된 평균 요금은 얼마였나요?
5182,Get the average production budget for Action and Drama movies released between 2000 and 2010.,"CREATE TABLE movies (id INT, title VARCHAR(100), genre VARCHAR(50), release_year INT, production_budget INT); INSERT INTO movies (id, title, genre, release_year, production_budget) VALUES (1, 'MovieA', 'Action', 2005, 15000000); INSERT INTO movies (id, title, genre, release_year, production_budget) VALUES (2, 'MovieB', 'Action', 2002, 20000000); INSERT INTO movies (id, title, genre, release_year, production_budget) VALUES (3, 'MovieC', 'Drama', 2008, 12000000);","SELECT AVG(production_budget) FROM movies WHERE genre IN ('Action', 'Drama') AND release_year BETWEEN 2000 AND 2010;",2000년에서 2010년 사이에 개봉한 액션 및 드라마 영화의 평균 제작 예산을 구하세요.
5183,What is the maximum production capacity of any tank in the Eastern region?,"CREATE TABLE Production (tank VARCHAR(20), capacity INT, location VARCHAR(20)); INSERT INTO Production (tank, capacity, location) VALUES ('Tank3', 100000, 'Eastern'), ('Tank4', 150000, 'Western');",SELECT MAX(capacity) FROM Production WHERE location = 'Eastern';,동부 지역에 있는 탱크의 최대 생산 용량은 얼마입니까?
5184,"List all the fields, including the ones without production, with their corresponding production rate","CREATE TABLE fields_production (field_id INT, production_rate FLOAT); INSERT INTO fields_production (field_id, production_rate) VALUES (1, 1000.0), (2, 2000.0), (3, NULL);","SELECT f.field_id, f.field_name, fp.production_rate FROM fields f LEFT JOIN fields_production fp ON f.field_id = fp.field_id;",생산량이 없는 필드를 포함하여 모든 필드와 해당 생산량을 나열하세요.
5185,Identify the menu items that were 86'ed (ran out) before 5pm on a specific day for the 'Gourmet Greens' restaurant.,"CREATE TABLE menu_items (id INT, restaurant_id INT, name VARCHAR(50), available INT, available_time TIME); INSERT INTO menu_items (id, restaurant_id, name, available, available_time) VALUES (1, 3, 'Kale Salad', 10, '12:00:00'), (2, 3, 'Beet Burger', 15, '12:00:00'), (3, 3, 'Carrot Fries', 20, '12:00:00'), (4, 3, 'Quinoa Bowl', 30, '12:00:00');",SELECT name FROM menu_items WHERE restaurant_id = 3 AND available_time < '17:00:00' GROUP BY name HAVING SUM(available) = 0;,'고메 그린스' 레스토랑에서 오후 5시 전에 품절된 메뉴 항목들을 식별하세요.
5186,Which REEs were produced in Australia in 2020?,"CREATE TABLE production (country VARCHAR(255), REE VARCHAR(255), amount INT, year INT); INSERT INTO production (country, REE, amount, year) VALUES ('Australia', 'Neodymium', 100, 2020); INSERT INTO production (country, REE, amount, year) VALUES ('Australia', 'Praseodymium', 150, 2020);",SELECT DISTINCT REE FROM production WHERE country = 'Australia' AND year = 2020;,2020년에 호주에서 생산된 희토류 원소는 무엇인가요?
5187,Show cultural competency training records for community health workers,"CREATE TABLE CulturalCompetencyTraining (TrainingID INT PRIMARY KEY, MHW_ID INT, TrainingName TEXT, TrainingDate DATE); INSERT INTO CulturalCompetencyTraining (TrainingID, MHW_ID, TrainingName, TrainingDate) VALUES (1, 123, 'Cultural Competency 101', '2021-06-15');","SELECT CulturalCompetencyTraining.TrainingID, CulturalCompetencyTraining.MHW_ID, CulturalCompetencyTraining.TrainingName, CulturalCompetencyTraining.TrainingDate, CommunityHealthWorker.Name FROM CulturalCompetencyTraining INNER JOIN CommunityHealthWorker ON CulturalCompetencyTraining.MHW_ID = CommunityHealthWorker.WorkerID;",커뮤니티 건강 근무자를 위한 문화적 역량 훈련 기록을 보여주세요.
5188,Calculate the percentage of defense contracts awarded to companies in California,"CREATE TABLE contract_states (company_name TEXT, contract_id INT, state TEXT); INSERT INTO contract_states (company_name, contract_id, state) VALUES ('Lockheed Martin', 1, 'California'), ('Boeing', 2, 'Washington'), ('Raytheon', 3, 'Massachusetts'), ('Northrop Grumman', 4, 'California'), ('General Dynamics', 5, 'Florida');","SELECT state, (COUNT(*)::FLOAT / (SELECT COUNT(*) FROM contract_states)) * 100 AS percentage FROM contract_states GROUP BY state;",캘리포니아에 있는 회사에 수여된 방위 계약의 비율을 계산하십시오.
5189,Find the average speed of electric vehicles in New York and London?,"CREATE TABLE vehicle_speed (id INT, type VARCHAR(20), city VARCHAR(20), speed INT); INSERT INTO vehicle_speed (id, type, city, speed) VALUES (1, 'electric', 'New York', 50), (2, 'electric', 'London', 60), (3, 'gasoline', 'New York', 40);","SELECT AVG(speed) FROM vehicle_speed WHERE type = 'electric' AND city IN ('New York', 'London');",뉴욕과 런던의 전기차 평균 속도를 구하세요?
5190,What are the top 10 artists with the highest number of artworks?,"CREATE TABLE Artists (id INT, name TEXT); CREATE TABLE Artworks (id INT, artist_id INT, name TEXT);","SELECT a.name, COUNT(*) as artworks_count FROM Artists a JOIN Artworks aw ON a.id = aw.artist_id GROUP BY a.name ORDER BY artworks_count DESC LIMIT 10;",어떤 아티스트가 가장 많은 작품을 가진 상위 10명인가요?
5191,What is the total water consumption by industrial customers in Texas and Oklahoma?,"CREATE TABLE industrial_customers (customer_id INT, location VARCHAR(255), water_consumption FLOAT); INSERT INTO industrial_customers (customer_id, location, water_consumption) VALUES (1, 'Dallas', 2000), (2, 'Houston', 2500), (3, 'Tulsa', 1800), (4, 'Oklahoma_City', 2200);","SELECT SUM(water_consumption) FROM industrial_customers WHERE location IN ('Texas', 'Oklahoma');",텍사스와 오클라호마의 산업 고객들에 의한 총 물 소비량은 얼마인가요?
5192,List the programs and their budgets for mobility accommodations.,"CREATE TABLE Programs (Program VARCHAR(20), Budget INT, Type VARCHAR(20)); INSERT INTO Programs (Program, Budget, Type) VALUES ('Wheelchair Ramp', 30000, 'Mobility'); INSERT INTO Programs (Program, Budget, Type) VALUES ('Prosthetic Services', 40000, 'Mobility');","SELECT Program, Budget FROM Programs WHERE Type = 'Mobility';",모빌리티 편의시설을 위한 프로그램과 그 예산을 나열하세요.
5193,List the space missions that have had astronauts from both the US and Canada.,"CREATE TABLE SpaceMissions (mission_name VARCHAR(30), astronaut_nationality VARCHAR(20)); INSERT INTO SpaceMissions (mission_name, astronaut_nationality) VALUES ('Mission1', 'US'); INSERT INTO SpaceMissions (mission_name, astronaut_nationality) VALUES ('Mission1', 'Canada');","SELECT mission_name FROM SpaceMissions WHERE astronaut_nationality IN ('US', 'Canada') GROUP BY mission_name HAVING COUNT(DISTINCT astronaut_nationality) = 2;",미국과 캐나다의 우주 비행사가 참여한 우주 임무 목록을 나열하세요.
5194,What is the average depth of all marine protected areas in the world?,"CREATE TABLE marine_protected_areas (name VARCHAR(255), location VARCHAR(255), avg_depth FLOAT); INSERT INTO marine_protected_areas (name, location, avg_depth) VALUES ('MPA 1', 'Pacific Ocean', 123.4), ('MPA 2', 'Atlantic Ocean', 567.8);",SELECT AVG(avg_depth) FROM marine_protected_areas;,전 세계의 모든 해양 보호 지역의 평균 깊이는 얼마인가요?
5195,Calculate the total production in the Southern region by oil and gas type,"CREATE TABLE production (well_id INT, type VARCHAR(10), region VARCHAR(50), quantity INT); INSERT INTO production (well_id, type, region, quantity) VALUES (1, 'Oil', 'Northern', 1000), (2, 'Gas', 'Southern', 2000), (3, 'Oil', 'Southern', 3000);","SELECT type, SUM(quantity) as total_production FROM production WHERE region = 'Southern' GROUP BY type;",남부 지역의 기름과 가스 유형별 총 생산량을 계산하세요.
5196,How many electric vehicles are there in China and Japan?,"CREATE TABLE electric_vehicles (country VARCHAR(50), num_vehicles INT); INSERT INTO electric_vehicles (country, num_vehicles) VALUES ('China', 1140000), ('Japan', 850000);","SELECT SUM(num_vehicles) FROM electric_vehicles WHERE country IN ('China', 'Japan');",중국과 일본에는 총 몇 대의 전기차가 있나요?
